Index,HasCreditCard,IsMale,CreditScore,Tenure,IsFromFrance,Balance,Salary,IsFromGermany,IsFromSpain,NumOfProducts,HasAnyDeposit,IsActiveMember,AgeGroup,Age,Churned
6133,1,0,687,9,1,125474.44,198929.84,0,0,1,1,0,32,34,0
9885,0,0,751,4,1,0.0,30165.06,0,0,1,0,1,47,48,1
3203,1,0,564,4,1,135946.26,63170.0,0,0,1,1,0,32,33,0
4002,1,1,545,5,0,114421.55,180598.28,1,0,1,1,0,52,53,1
4836,1,1,561,4,0,85141.79,29217.37,0,1,2,1,1,32,34,0
5221,1,1,571,9,0,139592.98,104152.65,1,0,3,1,0,32,37,1
747,0,1,844,2,1,160980.03,145936.28,0,0,1,1,0,18,18,0
6103,1,0,642,6,0,0.0,97938.59,0,1,2,0,1,32,36,0
856,1,1,523,4,0,0.0,167848.02,0,1,2,0,0,27,32,0
6941,1,1,575,1,1,0.0,65998.26,0,0,2,0,1,42,46,0
6674,0,0,729,8,1,109106.8,121311.12,0,0,1,1,0,32,36,0
4644,0,0,597,0,1,131778.08,10703.53,0,0,1,1,0,57,60,1
6701,1,1,787,10,0,108935.39,101168.3,0,1,1,1,1,37,39,0
89,1,0,646,4,1,0.0,93251.42,0,0,3,0,0,42,46,1
390,1,0,544,10,1,161525.96,9262.77,0,0,2,1,0,18,21,0
3265,1,1,738,5,1,161274.05,181429.87,0,0,2,1,0,32,35,0
7220,0,1,581,4,1,89299.81,5558.47,0,0,1,1,0,52,54,1
3981,1,1,673,0,1,0.0,85733.33,0,0,1,0,1,62,65,0
2565,1,0,667,6,1,144432.04,73963.17,0,0,1,1,1,37,38,1
5323,1,0,721,7,1,0.0,122580.48,0,0,2,0,1,37,40,0
8049,1,1,548,6,0,0.0,31728.35,0,1,1,0,1,32,33,0
5017,1,0,501,8,1,0.0,112664.24,0,0,2,0,0,27,29,0
6891,1,1,490,1,1,0.0,171060.01,0,0,3,0,0,37,39,1
8631,1,0,706,2,0,185932.18,65413.41,1,0,2,1,0,42,44,0
6758,0,1,717,2,0,102989.83,49185.57,0,1,2,1,1,32,36,0
8460,1,1,595,7,0,0.0,168085.97,0,1,2,0,1,22,23,0
388,1,1,730,2,0,0.0,186489.95,0,1,2,0,1,57,62,0
4356,1,0,657,4,1,80293.81,97192.76,0,0,1,1,0,37,39,0
8383,1,1,599,3,0,0.0,120790.02,0,1,2,0,1,22,25,0
4636,1,0,619,2,1,167733.51,65222.48,0,0,2,1,1,32,33,0
9401,0,0,639,3,1,98360.03,20973.8,0,0,1,1,0,27,31,0
6076,0,1,504,3,1,134936.97,135178.91,0,0,2,1,0,37,42,0
2745,1,1,694,7,0,121527.4,113481.02,0,1,1,1,0,37,38,0
2477,1,0,451,9,0,61482.47,167538.66,1,0,1,1,1,37,38,0
332,1,0,667,1,0,146502.07,19162.89,0,1,1,1,0,37,40,0
3240,1,0,762,6,0,0.0,55500.17,0,1,2,0,0,18,19,0
9409,1,1,640,10,1,132436.34,978.66,0,0,1,1,0,52,55,0
6402,0,0,556,10,1,0.0,109184.24,0,0,2,0,0,42,46,0
2013,0,1,841,9,1,108131.53,60830.38,0,0,1,1,1,72,74,0
6776,1,0,469,5,1,0.0,160529.71,0,0,1,0,0,47,48,1
8716,0,1,579,0,0,141749.68,9201.53,1,0,1,1,1,37,41,0
9979,1,1,774,9,1,93017.47,191608.97,0,0,2,1,0,37,40,0
673,0,1,642,0,1,0.0,47472.68,0,0,1,0,0,22,26,0
8221,1,1,557,6,1,177822.03,150944.31,0,0,1,1,0,37,42,1
7108,1,0,711,1,0,97486.15,50610.62,1,0,2,1,0,42,45,0
3124,1,1,642,8,1,80964.57,174738.2,0,0,2,1,0,27,30,0
3122,1,1,634,3,0,107027.52,173425.68,1,0,1,1,0,22,27,0
1152,0,0,826,4,0,129938.07,190200.53,0,1,1,1,1,27,29,0
3320,0,1,430,1,1,118894.22,2923.61,0,0,1,1,0,32,35,0
5611,0,0,733,5,1,0.0,12761.16,0,0,2,0,0,27,28,0
8195,1,1,632,4,1,126115.6,100998.5,0,0,1,1,0,37,42,0
2057,1,1,539,6,0,0.0,152880.07,0,1,1,0,1,37,38,1
2382,0,0,614,7,0,179915.85,14666.35,0,1,1,1,0,37,41,1
2251,1,1,706,8,0,0.0,12368.11,0,1,2,0,1,18,20,0
8261,0,0,640,5,0,32197.64,141446.01,1,0,1,1,1,27,30,0
2223,1,1,711,2,0,39043.29,175423.69,1,0,2,1,1,42,43,0
8715,1,0,703,6,1,109941.51,116267.28,0,0,1,1,0,37,41,0
7634,0,0,661,0,0,109493.62,188324.01,1,0,1,1,0,42,47,1
5452,1,1,663,4,1,87624.03,149401.33,0,0,2,1,0,42,43,0
8622,1,1,568,7,1,0.0,143450.61,0,0,2,0,0,32,33,0
9044,0,1,727,5,0,80615.46,180962.32,1,0,2,1,0,37,39,0
8761,1,0,677,10,0,171671.9,50777.77,0,1,1,1,1,32,34,0
8906,0,1,557,3,1,0.0,144078.02,0,0,1,0,1,32,36,0
6747,1,1,640,3,0,0.0,105997.25,0,1,1,0,1,37,39,0
5211,0,1,551,7,1,129717.3,86937.2,0,0,2,1,0,32,35,0
5370,0,1,575,8,0,123925.23,111342.66,0,1,1,1,0,47,52,1
5557,1,1,606,6,1,119501.88,46774.94,0,0,2,1,0,37,40,0
4887,1,0,711,5,0,123805.03,102428.51,1,0,1,1,0,52,53,0
7308,1,1,850,8,1,67639.56,194245.29,0,0,2,1,1,27,28,0
1020,1,1,633,1,1,0.0,48606.71,0,0,1,0,0,27,31,0
4474,1,0,646,4,0,105957.44,15470.91,1,0,1,1,0,27,29,0
4430,1,1,626,7,1,141074.59,52795.56,0,0,1,1,0,37,38,1
5946,0,0,716,3,1,0.0,167636.15,0,0,2,0,1,37,40,0
7434,1,0,779,2,0,128389.63,6589.16,1,0,1,1,1,32,37,1
4463,1,0,635,8,0,0.0,19367.98,0,1,2,0,1,27,32,1
8722,1,1,775,4,0,0.0,40807.26,0,1,1,0,1,22,27,0
4125,1,1,678,5,1,111128.04,60941.27,0,0,1,1,0,22,26,1
3798,1,0,839,3,1,0.0,69101.23,0,0,1,0,1,47,51,1
4306,1,0,692,2,1,0.0,91829.17,0,0,2,0,0,27,31,1
9271,1,0,499,3,1,176511.08,153920.22,0,0,1,1,1,18,21,0
4606,0,0,530,8,1,0.0,141872.52,0,0,2,0,1,32,34,0
4778,0,0,548,1,1,80107.83,82245.67,0,0,2,1,1,32,33,0
410,1,0,537,3,0,138306.34,106761.47,1,0,1,1,0,37,41,0
7892,0,1,678,2,0,101099.9,193476.04,1,0,2,1,1,47,48,0
6130,0,1,533,4,0,80442.06,12537.42,1,0,2,1,1,42,43,0
1065,1,0,723,4,1,0.0,140385.33,0,0,2,0,1,18,20,0
9862,1,1,544,8,1,0.0,98208.62,0,0,1,0,1,37,38,0
8130,1,1,847,5,0,0.0,76326.67,0,1,2,0,1,27,31,0
6098,1,1,575,9,0,107915.94,63452.18,1,0,2,1,1,42,47,1
3158,0,1,574,5,0,0.0,28269.86,0,1,2,0,0,32,34,0
1876,0,1,572,5,0,98108.79,119996.95,0,1,1,1,1,27,31,0
1605,0,0,718,1,1,152663.77,17128.64,0,0,1,1,1,27,31,0
6348,1,1,637,8,0,147127.81,84760.7,1,0,2,1,1,32,35,0
7228,1,0,704,2,0,0.0,35600.25,0,1,1,0,0,22,24,1
2863,0,1,645,8,0,149564.61,149913.84,1,0,1,1,0,32,33,0
9395,1,0,597,8,0,131101.04,192852.67,1,0,1,1,1,32,35,0
6354,1,1,598,8,1,114212.6,74322.85,0,0,1,1,1,32,35,0
8211,1,1,703,6,0,0.0,67667.19,0,1,2,0,1,27,31,0
2673,0,1,724,2,1,154485.74,78560.64,0,0,2,1,0,32,34,0
7907,0,1,613,3,0,171653.17,5353.12,0,1,1,1,1,32,37,0
2231,1,0,696,8,1,0.0,196134.44,0,0,2,0,1,27,30,0
9627,0,1,813,1,0,137275.36,115733.16,0,1,1,1,1,22,27,0
5262,1,0,714,9,1,89928.99,46203.31,0,0,1,1,0,22,26,0
9197,1,0,794,9,0,0.0,68008.85,0,1,2,0,0,32,37,0
4046,1,0,687,5,0,0.0,17696.22,0,1,1,0,0,32,36,0
860,1,1,598,1,1,0.0,195635.3,0,0,2,0,0,62,64,1
3621,1,1,773,4,1,0.0,24924.92,0,0,2,0,1,37,41,0
434,1,0,545,8,0,114754.08,136050.44,1,0,1,1,0,32,37,1
1591,1,0,632,5,0,97854.37,93536.38,0,1,2,1,0,37,39,0
4472,0,0,826,8,0,174506.1,161802.82,0,1,2,1,1,52,56,1
6296,0,0,535,1,0,140292.58,69531.22,0,1,3,1,0,47,50,1
378,1,1,572,4,0,152390.26,128123.66,0,1,1,1,0,32,35,0
7555,0,1,706,6,0,87609.68,137674.55,0,1,2,1,0,27,30,1
8025,1,1,694,10,1,144684.03,31805.49,0,0,1,1,1,27,30,0
3902,1,1,575,2,0,0.0,82222.86,0,1,2,0,1,27,30,0
1246,1,0,626,10,1,81553.93,20063.63,0,0,1,1,0,42,44,1
4485,1,0,645,1,1,0.0,68987.55,0,0,2,0,1,32,37,0
5993,1,0,758,2,1,84378.9,75396.43,0,0,1,1,1,27,32,0
9583,1,1,559,6,1,118756.62,20367.68,0,0,1,1,1,57,62,0
4488,0,1,696,3,0,150604.52,5566.6,1,0,1,1,0,27,31,0
173,1,1,480,10,0,129608.57,5472.7,1,0,1,1,0,42,44,1
4950,0,1,567,1,1,0.0,8555.73,0,0,2,0,0,32,36,0
9287,1,0,720,7,0,106230.92,69903.93,1,0,1,1,1,27,29,1
4560,0,0,528,7,0,133201.17,168507.68,1,0,1,1,0,57,62,1
62,0,0,687,9,0,152328.88,126494.82,1,0,2,1,0,22,27,0
6932,1,0,531,1,1,0.0,4606.97,0,0,1,0,0,32,37,0
1168,1,0,548,10,1,0.0,31299.71,0,0,1,0,1,32,35,0
7786,1,1,738,9,1,0.0,48644.94,0,0,2,0,1,22,26,0
4300,0,1,615,8,1,0.0,3183.15,0,0,2,0,0,27,30,0
7911,1,1,561,6,0,123692.0,70548.96,0,1,1,1,1,27,28,0
1153,0,1,652,2,0,151421.44,115333.43,1,0,1,1,1,42,45,0
357,1,0,850,8,0,126776.3,132298.49,0,1,2,1,1,52,57,0
6944,1,1,719,4,0,128389.12,176091.31,0,1,1,1,1,37,40,0
1744,1,1,476,6,1,0.0,22735.45,0,0,1,0,1,37,40,0
6823,1,1,669,0,0,63723.78,181928.25,1,0,2,1,1,42,47,0
5507,0,1,590,0,0,65812.35,160346.3,0,1,2,1,1,32,34,0
4588,1,0,500,6,1,0.0,140268.45,0,0,1,0,1,32,34,0
6333,1,0,619,4,1,90413.12,20555.21,0,0,1,1,1,32,35,0
6206,0,0,497,4,1,85646.81,63233.02,0,0,1,1,0,27,29,1
8860,1,0,715,10,1,0.0,60907.49,0,0,2,0,0,27,32,0
1963,1,0,358,8,0,143542.36,141959.11,0,1,3,1,0,47,52,1
6123,1,1,619,3,1,116967.68,5075.17,0,0,1,1,0,42,44,1
7329,0,1,850,1,0,169743.83,155850.4,1,0,1,1,0,52,56,1
188,0,0,525,0,0,0.0,131521.72,0,1,1,0,1,32,37,0
6694,1,1,637,9,1,128940.24,46786.92,0,0,1,1,0,22,27,0
6750,0,0,684,9,0,79263.9,196574.48,0,1,1,1,1,22,24,0
8990,1,0,640,10,0,118613.34,168469.65,1,0,1,1,0,27,31,0
2662,1,0,742,2,1,191864.51,108457.99,0,0,1,1,0,27,28,1
2370,1,0,648,7,0,118241.02,172586.89,0,1,1,1,0,52,54,1
5687,0,0,644,6,0,12459.19,156787.34,0,1,1,1,0,42,46,1
5208,1,0,777,10,0,121532.17,73464.88,1,0,2,1,1,32,37,0
3750,1,1,427,8,1,0.0,13858.95,0,0,1,0,1,32,33,0
8128,1,1,651,8,0,110067.71,127678.95,1,0,1,1,0,32,35,1
4094,1,0,764,1,0,75990.97,158323.81,0,1,1,1,0,47,48,1
8084,0,1,576,7,0,130575.26,173629.78,1,0,1,1,1,27,29,0
1765,1,1,611,1,1,0.0,102547.56,0,0,2,0,1,37,40,0
4784,1,0,710,5,1,0.0,115403.31,0,0,2,0,0,32,37,0
5558,1,0,700,5,0,144550.83,189664.43,1,0,2,1,1,37,39,0
4284,1,1,725,7,1,75915.75,150507.43,0,0,1,1,0,32,35,0
4679,1,1,580,8,0,125921.37,94677.83,0,1,1,1,1,57,61,0
5234,1,0,731,4,0,88826.07,33759.41,1,0,1,1,1,47,49,1
2160,0,1,683,3,1,140997.26,52876.41,0,0,1,1,1,67,72,0
6824,1,0,581,10,0,159203.71,102517.83,0,1,1,1,1,22,24,1
6208,1,1,644,9,1,141234.98,95673.05,0,0,1,1,0,32,33,0
6300,1,1,590,7,1,126431.54,58781.11,0,0,1,1,0,22,24,0
3299,1,1,558,10,0,111363.1,197264.35,1,0,2,1,0,22,25,0
7047,1,0,589,2,0,121093.29,3529.72,1,0,2,1,0,18,20,0
8164,1,1,768,3,0,122831.58,24533.89,1,0,1,1,1,47,48,1
7973,1,1,751,5,0,73194.99,89222.66,1,0,1,1,1,32,36,0
5038,1,1,606,7,0,128578.52,193878.51,0,1,1,1,1,37,38,0
3269,1,1,690,5,1,0.0,12847.61,0,0,1,0,0,52,54,1
1004,0,0,646,3,1,175159.9,67124.48,0,0,2,1,0,37,42,1
4927,1,0,674,6,0,100762.64,182156.86,1,0,1,1,0,32,36,0
6583,0,0,525,7,0,0.0,168034.9,0,1,2,0,1,57,60,0
9455,1,1,727,4,1,0.0,118429.02,0,0,2,0,1,47,52,0
9807,1,1,658,9,0,71829.34,68141.92,0,1,1,1,1,32,35,0
9515,1,0,845,9,1,0.0,56185.98,0,0,2,0,1,27,28,0
9844,1,1,646,0,0,92398.08,18897.29,1,0,1,1,1,22,24,0
4890,1,0,691,8,0,109153.96,148848.76,1,0,3,1,1,37,41,1
445,0,1,553,3,0,116528.15,145704.19,0,1,1,1,0,42,47,1
8938,1,1,731,1,1,132512.26,185466.85,0,0,1,1,1,27,31,0
3745,1,1,647,3,0,116509.99,149517.71,1,0,1,1,1,32,37,1
3864,1,0,674,3,1,0.0,51536.99,0,0,1,0,0,27,28,0
8596,1,0,758,5,0,122739.1,102460.84,1,0,1,1,0,22,23,1
4820,0,1,613,4,1,100446.57,149653.81,0,0,1,1,1,22,26,0
4892,1,1,765,5,0,86055.17,104220.5,1,0,2,1,1,32,34,0
7751,1,1,550,0,1,0.0,184221.11,0,0,2,0,1,22,25,0
5246,1,1,717,7,1,0.0,158580.05,0,0,2,0,1,37,38,0
6194,0,0,689,2,0,64808.32,78591.15,1,0,2,1,0,27,28,0
6690,0,1,630,7,0,107511.52,46156.87,0,1,1,1,1,37,41,0
4994,1,0,554,6,1,92436.86,126033.9,0,0,1,1,0,42,44,0
999,1,0,811,4,0,167738.82,9903.42,1,0,2,1,1,27,28,0
7969,0,1,592,8,0,84692.5,67214.02,0,1,1,1,1,42,45,0
9257,1,1,765,7,0,102708.77,9087.81,1,0,1,1,0,32,37,0
2462,1,1,637,8,1,125470.81,174536.17,0,0,1,1,1,37,40,0
9695,1,1,581,5,1,77886.53,150319.49,0,0,2,1,0,22,25,0
8866,1,1,668,2,1,0.0,70783.61,0,0,2,0,1,67,72,0
4804,1,1,802,5,0,0.0,134626.3,0,1,2,0,1,37,41,0
7723,0,1,684,9,0,90544.0,4777.23,1,0,1,1,1,18,18,0
2675,1,1,804,7,1,108396.67,128276.95,0,0,1,1,0,22,25,0
9560,1,0,705,8,0,144102.32,11682.36,0,1,1,1,1,37,39,0
6575,0,0,785,9,0,107199.75,146398.51,1,0,1,1,0,37,38,0
815,0,0,700,2,1,0.0,50051.42,0,0,2,0,0,22,26,0
3740,1,0,627,1,1,0.0,106851.7,0,0,1,0,0,27,32,0
2280,1,1,745,9,0,0.0,50046.25,0,1,2,0,0,32,34,0
4386,1,1,651,2,1,86911.8,174094.24,0,0,1,1,0,32,35,0
4704,0,0,692,8,0,0.0,159069.37,0,1,1,0,1,42,44,0
250,1,1,739,8,0,126418.14,134420.75,1,0,1,1,0,52,54,1
1392,1,0,775,4,0,125212.65,15795.88,1,0,2,1,1,37,38,1
1637,1,0,573,6,1,0.0,193995.37,0,0,2,0,0,32,37,0
6871,1,0,850,0,0,136980.23,99019.65,1,0,2,1,1,32,36,0
3264,1,1,447,2,1,0.0,33879.26,0,0,2,0,0,42,43,1
3996,1,0,701,7,0,123870.07,97794.71,0,1,1,1,0,32,33,0
4768,1,1,685,9,0,0.0,18826.06,0,1,2,0,1,37,39,0
4127,1,1,675,10,0,0.0,191545.65,0,1,2,0,0,27,32,0
4203,0,1,526,9,1,0.0,100995.68,0,0,2,0,0,27,30,0
6919,1,1,597,0,0,108058.07,187826.11,0,1,2,1,1,22,24,0
7211,1,0,648,9,0,102282.61,157891.11,0,1,1,1,1,27,28,0
4319,0,0,673,10,0,76510.52,59595.66,1,0,2,1,1,72,77,0
9587,0,0,546,6,1,0.0,20508.85,0,0,1,0,1,18,20,0
5526,1,1,624,10,1,123401.43,127825.25,0,0,2,1,1,47,51,0
1821,1,1,604,9,0,124577.33,7267.25,0,1,1,1,1,22,23,0
7035,0,1,465,1,0,117438.17,74898.8,1,0,1,1,0,52,53,1
6211,1,1,522,3,0,0.0,145490.85,0,1,2,0,0,27,30,0
3330,0,0,850,3,1,0.0,2465.8,0,0,2,0,0,42,43,0
2333,1,0,439,6,1,156569.43,180598.66,0,0,1,1,0,27,29,0
823,1,1,642,8,0,0.0,72085.1,0,1,1,0,0,32,34,0
2165,1,1,767,8,0,149083.7,190146.83,0,1,1,1,1,72,77,0
599,0,0,683,5,0,162448.69,9221.78,1,0,1,1,0,52,57,1
1557,1,0,850,10,0,0.0,94815.04,0,1,2,0,1,27,29,0
3928,0,0,580,1,0,0.0,103182.46,0,1,2,0,1,62,65,0
7258,0,0,747,5,1,139914.6,129964.56,0,0,4,1,1,42,47,1
2399,1,0,706,8,0,95386.82,75732.25,0,1,1,1,1,37,42,0
4975,0,0,638,2,0,155828.22,108987.25,0,1,1,1,1,52,55,1
9206,1,1,564,0,1,110527.17,87060.77,0,0,1,1,1,27,31,0
5243,1,0,655,0,0,81954.6,198798.44,1,0,1,1,1,37,40,1
6812,0,0,779,5,1,0.0,25951.91,0,0,2,0,0,37,42,0
7307,1,0,837,2,1,0.0,46395.21,0,0,2,0,1,37,38,0
8588,0,1,588,2,0,131341.46,7034.94,1,0,2,1,1,37,41,0
7831,1,0,595,9,1,0.0,41447.86,0,0,2,0,1,32,33,0
3429,0,0,641,4,1,0.0,125986.18,0,0,2,0,0,32,35,0
1113,0,0,690,3,1,92578.14,70810.6,0,0,2,1,0,37,42,0
8543,0,0,688,8,0,150679.71,196226.38,1,0,2,1,1,37,40,0
5559,1,1,677,3,0,126729.41,26106.39,1,0,1,1,1,32,34,1
5292,0,0,659,2,1,155584.21,153662.88,0,0,1,1,1,27,32,0
3678,1,1,631,2,0,0.0,158268.84,0,1,2,0,1,32,33,0
1803,1,0,683,8,0,98567.1,187987.01,0,1,1,1,0,22,24,0
7840,1,0,566,3,1,0.0,3626.47,0,0,2,0,1,18,21,0
9719,1,1,710,3,0,131078.42,119348.76,0,1,2,1,0,57,62,1
1508,1,0,549,3,0,134985.66,6101.41,1,0,1,1,0,42,43,0
3037,1,1,659,1,1,106086.42,26900.63,0,0,2,1,0,42,43,0
1886,1,1,563,6,0,0.0,19720.08,0,1,2,0,1,27,32,0
1031,0,1,730,1,1,116537.6,145679.6,0,0,1,1,0,37,39,0
6396,1,0,741,0,0,127675.39,74260.16,1,0,2,1,0,32,36,0
7799,1,1,518,3,1,0.0,76515.79,0,0,2,0,0,42,46,0
430,0,1,568,1,0,99282.63,134600.94,1,0,1,1,0,37,40,1
4816,1,0,775,6,0,135120.56,37836.64,1,0,1,1,0,72,77,0
3103,1,0,640,3,1,0.0,2743.69,0,0,2,0,0,27,29,0
7477,1,1,759,2,1,111095.58,100137.7,0,0,2,1,0,42,44,0
5970,0,0,542,7,1,0.0,196651.72,0,0,2,0,1,27,29,0
7668,0,1,797,1,1,0.0,149991.32,0,0,1,0,1,27,29,0
7616,1,1,590,6,0,169902.92,128256.18,0,1,1,1,1,32,37,0
1244,0,1,693,6,0,146580.69,14633.35,1,0,1,1,1,22,25,0
3031,0,1,676,1,1,80569.73,68621.98,0,0,1,1,0,18,20,0
9938,1,0,700,8,1,0.0,105305.72,0,0,2,0,1,37,42,0
7581,0,1,708,3,1,0.0,121457.88,0,0,1,0,1,32,34,1
5684,1,0,615,1,1,104267.7,62845.64,0,0,1,1,0,57,61,1
3035,1,1,770,2,1,89800.14,105922.69,0,0,1,1,1,32,36,0
2049,1,0,567,5,1,166118.45,127827.18,0,0,2,1,0,32,35,0
2961,1,0,778,7,0,123229.46,181221.09,1,0,1,1,0,27,29,0
4076,1,1,713,5,1,86394.14,130001.13,0,0,1,1,1,42,43,0
5945,0,1,696,4,0,114091.38,159888.1,1,0,1,1,1,42,43,0
1641,1,1,583,5,0,102562.23,92708.1,0,1,1,1,0,42,47,0
4561,1,0,624,0,0,0.0,111605.9,0,1,2,0,0,32,36,0
5601,1,1,786,7,1,165896.22,66977.68,0,0,2,1,1,32,37,0
2386,0,1,623,4,1,120509.81,142170.44,0,0,1,1,0,22,27,0
4908,1,1,523,2,1,161588.89,51358.66,0,0,1,1,1,32,34,0
7315,1,0,588,2,1,0.0,92536.0,0,0,2,0,0,32,36,1
9340,1,1,665,1,0,182781.74,63732.9,0,1,2,1,1,27,29,0
1355,0,1,611,7,0,0.0,73585.18,0,1,1,0,1,47,52,1
4608,1,1,653,3,1,0.0,170426.65,0,0,1,0,0,47,51,1
9172,0,0,411,9,1,0.0,76621.49,0,0,1,0,1,52,54,0
8323,0,0,617,5,1,0.0,13066.3,0,0,2,0,1,32,35,0
3455,1,1,612,1,1,182705.05,171837.06,0,0,1,1,1,22,24,0
5574,1,1,681,8,1,0.0,66367.33,0,0,1,0,0,27,29,0
7140,0,0,806,1,1,0.0,103945.58,0,0,2,0,1,62,67,0
4290,1,0,731,1,0,128932.4,180712.52,0,1,1,1,1,32,37,0
6551,1,0,637,3,0,109698.41,88391.29,1,0,1,1,1,37,39,1
8056,1,1,657,8,0,109402.13,66463.62,0,1,1,1,1,37,41,0
9713,1,1,637,3,1,0.0,197827.06,0,0,2,0,1,27,32,0
2815,1,0,737,2,0,162485.8,149381.32,1,0,2,1,0,37,40,0
6238,1,0,630,1,1,0.0,133267.78,0,0,2,0,1,27,28,0
5233,1,0,559,5,1,0.0,21006.1,0,0,1,0,0,42,46,1
4688,0,1,769,2,1,96542.16,197885.72,0,0,2,1,1,47,48,0
8574,1,0,633,8,1,124281.84,60116.57,0,0,1,1,1,22,26,0
3211,1,0,606,1,0,109330.06,75860.01,0,1,1,1,1,52,53,0
2608,1,1,814,1,1,118870.92,101704.19,0,0,1,1,0,27,31,0
2920,0,0,538,9,0,0.0,152855.96,0,1,1,0,0,37,42,0
9580,1,1,821,0,0,135827.33,131778.58,1,0,2,1,1,42,45,0
3392,0,0,570,3,1,0.0,820.46,0,0,2,0,0,42,46,0
7921,0,1,714,5,1,141173.03,98896.06,0,0,1,1,1,32,34,0
9108,0,1,655,9,0,0.0,90490.33,0,1,1,0,1,37,38,0
3685,0,0,482,2,1,133111.73,79957.95,0,0,1,1,1,32,35,0
7516,1,0,623,0,1,130557.24,47880.71,0,0,1,1,1,32,35,0
9645,1,0,452,8,1,0.0,149614.81,0,0,2,0,1,32,35,0
8834,1,1,594,7,1,81310.34,183868.01,0,0,1,1,1,47,50,0
5957,1,0,798,4,0,129055.13,157147.59,1,0,1,1,0,37,38,0
6410,1,0,683,9,1,0.0,38784.42,0,0,2,0,1,32,33,0
